"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2838","Connection avec le compte creer","","Tue Sep 09 10:31:34 CEST 2025","passed","Tue Sep 09 10:31:36 CEST 2025","","creer un compte, puis se connecter avec le nouvel utilisateur","",""
"","11843","creer le compte utilisateur","","Tue Sep 09 10:31:21 CEST 2025","passed","Tue Sep 09 10:31:33 CEST 2025","","creer un compte, puis se connecter avec le nouvel utilisateur","",""
